time_ms,time_s,light_level,motion,led_state,mode
139427,139.427,811,0,1,0
139679,139.679,741,0,1,0
139931,139.931,843,0,1,0
140183,140.183,776,0,1,0
140435,140.435,803,0,1,0
140687,140.687,756,0,1,0
140939,140.939,800,0,1,0
141191,141.191,816,0,1,0
141443,141.443,755,0,1,0
141694,141.694,815,0,1,0
141946,141.946,741,0,1,0
142198,142.198,847,0,1,0
142450,142.45,778,0,1,0
142702,142.702,800,0,1,0
142954,142.954,766,0,1,0
143206,143.206,810,0,1,0
143458,143.458,816,0,1,0
143710,143.71,750,0,1,0
143962,143.962,821,0,1,0
144214,144.214,752,0,0,0
144465,144.465,842,0,0,0
144717,144.717,770,0,0,0
144969,144.969,793,0,0,0
145221,145.221,758,0,0,0
145473,145.473,807,0,0,0
145725,145.725,817,0,0,0
145977,145.977,743,0,0,0
146229,146.229,818,0,0,0
146481,146.481,750,0,0,0
146732,146.732,840,0,0,0
146983,146.983,765,0,0,0
147235,147.235,788,0,0,0
147487,147.487,764,0,0,0
147739,147.739,800,0,0,0
147991,147.991,813,0,0,0
148243,148.243,736,0,0,0
148495,148.495,816,0,0,0
148747,148.747,755,0,0,0
148999,148.999,845,0,0,0
149251,149.251,761,0,0,0
149502,149.502,790,0,0,0
149754,149.754,772,0,0,0
150006,150.006,807,0,0,0
150258,150.258,809,0,0,0
150510,150.51,735,0,0,0
150762,150.762,818,0,0,0
151014,151.014,756,0,0,0
151266,151.266,842,0,0,0
151518,151.518,759,0,0,0
151770,151.77,790,0,0,0
152022,152.022,775,0,0,0
152273,152.273,805,0,0,0
152525,152.525,808,0,0,0
152777,152.777,736,0,0,0
153029,153.029,828,0,0,0
153281,153.281,767,0,0,0
153533,153.533,836,0,0,0
153785,153.785,756,0,0,0
154037,154.037,790,0,0,0
154289,154.289,782,0,0,0
154541,154.541,809,0,0,0
154792,154.792,811,0,0,0
155044,155.044,730,0,0,0
155296,155.296,836,0,0,0
155548,155.548,772,0,0,0
155800,155.8,831,0,0,0
156052,156.052,753,0,0,0
156304,156.304,798,0,0,0
156556,156.556,793,0,0,0
156808,156.808,798,0,0,0
157060,157.06,807,0,0,0
157312,157.312,731,0,0,0
157563,157.563,844,0,0,0
157815,157.815,785,0,0,0
158067,158.067,816,0,0,0
158319,158.319,754,0,0,0
158571,158.571,803,0,0,0
158823,158.823,815,0,0,0
159075,159.075,775,0,0,0
159327,159.327,813,0,0,0
159579,159.579,738,0,0,0
159831,159.831,845,0,0,0
160082,160.082,776,0,0,0
160334,160.334,799,0,0,0
160586,160.586,758,0,0,0
160838,160.838,807,0,0,0
161090,161.09,824,0,0,0
161342,161.342,746,1,1,0
161594,161.594,808,1,1,0
161846,161.846,670,1,1,0
162098,162.098,763,1,1,0
162350,162.35,543,1,1,0
162601,162.601,652,1,1,0
162853,162.853,588,1,1,0
163105,163.105,626,1,1,0
163357,163.357,586,1,1,0
163609,163.609,520,1,1,0
163861,163.861,675,1,1,0
164113,164.113,497,1,1,0
164365,164.365,645,1,1,0
164617,164.617,524,1,1,0
164869,164.869,606,1,1,0
165121,165.121,540,1,1,0
165372,165.372,523,1,1,0
165624,165.624,658,1,1,0
165876,165.876,1017,1,0,0
166128,166.128,1022,1,0,0
166380,166.38,1022,1,0,0
166632,166.632,1021,1,0,0
166884,166.884,1021,1,0,0
167136,167.136,1022,1,0,0
167388,167.388,1022,1,0,0
167640,167.64,1022,1,0,0
167891,167.891,1022,1,0,0
168143,168.143,1022,1,0,0
168395,168.395,1021,1,0,0
168647,168.647,1021,1,0,0
168899,168.899,1022,1,0,0
169151,169.151,1022,1,0,0
169403,169.403,1022,1,0,0
169655,169.655,1022,1,0,0
169907,169.907,1022,1,0,0
170159,170.159,1022,1,0,0
170411,170.411,1022,1,0,0
170662,170.662,1022,1,0,0
171115,171.115,1022,1,1,1
171367,171.367,1022,1,1,1
171619,171.619,1022,1,1,1
171871,171.871,1022,1,1,1
